propiedad;precio;ALMACENES PEQUENOS VENTA DE ALIMENTOS;ESTABLECIMIENTOS DE ENSENANZA PRIMARIA Y SECUNDARIA PARA ADULTOS;MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES;PELUQUERIAS Y SALONES DE BELLEZA;ACTIVIDADES DE ORGANIZACIONES RELIGIOSAS;VENTA AL POR MAYOR DE PRODUCTOS TEXTILES, PRENDAS DE VESTIR Y CALZADO;RESTAURANTES;VENTAS AL POR MENOR DE OTROS PROD. EN ALMACENES ESPECIALIZADOS N.C.P.;VENTA AL POR MENOR DE BEBIDAS Y LICORES BOTILLERIAS;ADMINISTRACION DE MERCADOS FINANCIEROS;ESTABLECIMIENTOS DE COMIDA RAPIDA BARES, FUENTES DE SODA, PIZZERIAS;ALMACENES MEDIANOS VENTA DE ALIMENTOS- SUPERMERCADOS, MINIMARKETS;VENTA AL POR MENOR DE PRODUCTOS DE PANADERIA Y PASTELERIA;OTRAS REPARACIONES DE EFECTOS PERSONALES Y ENSERES DOMESTICOS N.C.P.;SERVICIOS DE OTROS ESTABLECIMIENTOS QUE EXPENDEN COMIDAS Y BEBIDAS;VENTA AL POR MENOR DE CARNES, PRODUCTOS CARNICOS Y SIMILARES;COMERCIO AL POR MENOR DE VERDURAS Y FRUTAS VERDULERIA;ESTABLECIMIENTOS MEDICOS DE ATENCION AMBULATORIA CENTROS MEDICOS;VENTA AL POR MENOR DE ART. DE FERRETERIA Y MATERIALES DE CONSTRUCCION;OTRAS ACTIVIDADES DE SERVICIOS PERSONALES N.C.P.;VENTA  AL POR MENOR DE ALIMENTOS  PARA MASCOTAS Y ANIMALES EN GENERAL;FARMACIAS - PERTENECIENTES A CADENA DE ESTABLECIMIENTOS;OTRAS ACTIVIDADES DE ENTRETENIMIENTO N.C.P.;BANCOS;VENTA AL POR MENOR DE MUEBLES- INCLUYE COLCHONES;VENTA AL POR MENOR DE PRODUCTOS DE CONFITERIAS, CIGARRILLOS, Y OTROS;VENTA AL POR MAYOR DE OTROS ENSERES DOMESTICOS N.C.P.;VENTA AL POR MAYOR DE COMBUSTIBLES LIQUIDOS;VENTA AL POR MAYOR DE  LIBROS;VENTA AL POR MENOR DE APARATOS, ART, EQUIPO DE USO DOMESTICO N.C.P.;ACTIVIDADES DE OTRAS ORGANIZACIONES PROFESIONALES;COMERCIO POR MENOR DE ARTICULOS  DE JOYERIA, FANTASIAS Y RELOJERIAS;SERVICIOS DE COBRANZA DE CUENTAS;VENTA AL POR MENOR DE FLORES, PLANTAS, ARBOLES, SEMILLAS, ABONOS;HOSPITALES Y CLINICAS;FABRICACION  DE APARATOS DE USO DOMESTICO N.C.P.;IMPRESION PRINCIPALMENTE DE LIBROS;LAVADO Y LIMPIEZA DE PRENDAS DE TELA Y PIEL, INCLUSO LIMPIEZAS EN SECO;SERVICIOS DE COMIDA PREPARADA EN FORMA INDUSTRIAL;AGENCIAS DE TRANSPORTE;COMERCIO AL POR MENOR DE ARTICULOS TIPICOS ARTESANIAS;ARRIENDO DE INMUEBLES AMOBLADOS O CON EQUIPOS Y MAQUINARIAS;HOTELES;REPARACION DE INSTRUMENTOS DE OPTICA N.C.P Y EQUIPO FOTOGRAFICOS;SISTEMA DE JUEGOS DE AZAR MASIVOS.;EXPLOTACION DE INSTALACIONES ESPECIALIZADAS PARA PRACTICAS DEPORTIVAS;SERVICIOS DE FOTOCOPIAS;COMERCIO AL POR MENOR DE PRODUCTOS DE VIDRIO;COMERCIO AL POR MENOR DE COMPUTADORAS, SOFTWARES Y SUMINISTROS;GRANDES TIENDAS DE PRODUCTOS DE VESTUARIO Y HOGAR;ACTIVIDADES DE MANTENIMIENTO DEL ORDEN PUBLICO Y DE SEGURIDAD;CONSTRUCCION DE EDIFICIOS COMPLETOS O DE PARTES DE EDIFICIOS;FORJA, PRENSADO, ESTAMPADO, LAMINADO DE METAL- INCLUYE PULVIMETALURGIA;ELABORACION DE PRODUCTOS DE ALUMINIO EN FORMAS PRIMARIAS;COMERCIO AL POR MENOR DE ARTICULOS FOTOGRAFICOS;OTRAS ACTIVIDADES DE SERVICIOS FUNERARIOS Y OTRAS ACTIVIDADES CONEXAS;VENTA AL POR MAYOR DE ART. DE PERFUMERIA, COSMETICOS Y PROD. LIMPIEZA;COMERCIO POR MENOR DE JUGUETES;VENTA AL POR MAYOR DE DESECHOS METALICOS CHATARRA;EDUCACION EXTRAESCOLAR (ESCUELA DE CONDUCCION, MUSICA, MODELAJE, ETC);CORREDORES DE PROPIEDADES;VENTA AL POR MENOR DE DISCOS, CASSETTES, DVD Y VIDEOS;TRANSPORTES POR TAXIS LIBRES Y RADIOTAXIS;FAB. DE POSTRES A BASE DE LECHE HELADOS, SORBETES Y OTROS SIMILARES;PORTADORES TELEFONICOS LARGA DISTANCIA NACIONAL E INTERNACIONAL;
0;1170;201-300;101-200;301-400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;201-300;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
1;1260;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
2;1290;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
3;1300;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
4;1350;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
5;1359;0-100;101-200;0-100;101-200;101-200;101-200;101-200;101-200;0-100;>400;0-100;201-300;101-200;101-200;201-300;101-200;>400;101-200;101-200;0-100;101-200;201-300;>400;>400;301-400;201-300;101-200;201-300;201-300;101-200;>400;>400;201-300;>400;>400;101-200;201-300;101-200;>400;0-100;>400;101-200;0-100;101-200;201-300;>400;>400;101-200;>400;>400;>400;>400;101-200;>400;>400;201-300;>400;>400;301-400;201-300;101-200;>400;>400;>400;>400;
6;1450;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
7;1498;101-200;201-300;101-200;201-300;>400;301-400;0-100;0-100;>400;>400;101-200;301-400;101-200;201-300;101-200;301-400;>400;301-400;301-400;>400;201-300;301-400;301-400;101-200;201-300;0-100;301-400;201-300;>400;201-300;>400;>400;>400;101-200;0-100;301-400;101-200;301-400;>400;101-200;>400;301-400;201-300;>400;301-400;301-400;301-400;>400;>400;>400;>400;>400;>400;301-400;>400;>400;>400;>400;301-400;301-400;>400;>400;>400;101-200;>400;
8;1530;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
9;1550;0-100;0-100;101-200;101-200;101-200;201-300;0-100;101-200;0-100;>400;101-200;101-200;101-200;101-200;201-300;301-400;>400;201-300;101-200;0-100;>400;301-400;101-200;301-400;101-200;301-400;301-400;101-200;201-300;>400;>400;0-100;101-200;>400;>400;301-400;201-300;>400;201-300;>400;>400;>400;>400;>400;301-400;301-400;301-400;201-300;>400;>400;>400;101-200;>400;>400;>400;301-400;>400;>400;201-300;>400;>400;>400;>400;201-300;>400;
10;1550;0-100;0-100;101-200;101-200;101-200;201-300;0-100;101-200;0-100;>400;101-200;101-200;101-200;101-200;201-300;301-400;>400;201-300;101-200;0-100;>400;301-400;101-200;301-400;101-200;301-400;301-400;101-200;201-300;>400;>400;0-100;101-200;>400;>400;301-400;201-300;>400;201-300;>400;>400;>400;>400;>400;301-400;301-400;301-400;201-300;>400;>400;>400;101-200;>400;>400;>400;301-400;>400;>400;201-300;>400;>400;>400;>400;201-300;>400;
11;1550;0-100;0-100;101-200;101-200;101-200;201-300;0-100;101-200;0-100;>400;101-200;101-200;101-200;101-200;201-300;301-400;>400;201-300;101-200;0-100;>400;301-400;101-200;301-400;101-200;301-400;301-400;101-200;201-300;>400;>400;0-100;101-200;>400;>400;301-400;201-300;>400;201-300;>400;>400;>400;>400;>400;301-400;301-400;301-400;201-300;>400;>400;>400;101-200;>400;>400;>400;301-400;>400;>400;201-300;>400;>400;>400;>400;201-300;>400;
12;1550;0-100;0-100;101-200;101-200;101-200;101-200;0-100;0-100;0-100;>400;101-200;0-100;101-200;101-200;201-300;301-400;>400;201-300;101-200;0-100;>400;301-400;101-200;301-400;0-100;301-400;201-300;0-100;101-200;>400;>400;0-100;0-100;>400;>400;301-400;201-300;>400;201-300;>400;>400;>400;>400;>400;301-400;301-400;301-400;201-300;>400;>400;>400;201-300;>400;>400;>400;301-400;>400;>400;201-300;>400;>400;>400;>400;201-300;>400;
13;1550;0-100;0-100;101-200;101-200;101-200;201-300;0-100;101-200;0-100;>400;101-200;101-200;101-200;101-200;201-300;301-400;>400;201-300;101-200;0-100;>400;301-400;101-200;301-400;101-200;301-400;301-400;101-200;201-300;>400;>400;0-100;101-200;>400;>400;301-400;201-300;>400;201-300;>400;>400;>400;>400;>400;301-400;301-400;301-400;201-300;>400;>400;>400;101-200;>400;>400;>400;301-400;>400;>400;201-300;>400;>400;>400;>400;201-300;>400;
14;1170;201-300;101-200;301-400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;201-300;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
15;1260;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
16;1290;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
17;1300;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
18;1350;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
19;1359;0-100;101-200;0-100;101-200;101-200;101-200;101-200;101-200;0-100;>400;0-100;201-300;101-200;101-200;201-300;101-200;>400;101-200;101-200;0-100;101-200;201-300;>400;>400;301-400;201-300;101-200;201-300;201-300;101-200;>400;>400;201-300;>400;>400;101-200;201-300;101-200;>400;0-100;>400;101-200;0-100;101-200;201-300;>400;>400;101-200;>400;>400;>400;>400;101-200;>400;>400;201-300;>400;>400;301-400;201-300;101-200;>400;>400;>400;>400;
20;1450;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
21;1498;101-200;201-300;101-200;201-300;>400;301-400;0-100;0-100;>400;>400;101-200;301-400;101-200;201-300;101-200;301-400;>400;301-400;301-400;>400;201-300;301-400;301-400;101-200;201-300;0-100;301-400;201-300;>400;201-300;>400;>400;>400;101-200;0-100;301-400;101-200;301-400;>400;101-200;>400;301-400;201-300;>400;301-400;301-400;301-400;>400;>400;>400;>400;>400;>400;301-400;>400;>400;>400;>400;301-400;301-400;>400;>400;>400;101-200;>400;
22;1530;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
23;1550;0-100;0-100;101-200;101-200;101-200;201-300;0-100;101-200;0-100;>400;101-200;101-200;101-200;101-200;201-300;301-400;>400;201-300;101-200;0-100;>400;301-400;101-200;301-400;101-200;301-400;301-400;101-200;201-300;>400;>400;0-100;101-200;>400;>400;301-400;201-300;>400;201-300;>400;>400;>400;>400;>400;301-400;301-400;301-400;201-300;>400;>400;>400;101-200;>400;>400;>400;301-400;>400;>400;201-300;>400;>400;>400;>400;201-300;>400;
24;1550;0-100;0-100;101-200;101-200;101-200;201-300;0-100;101-200;0-100;>400;101-200;101-200;101-200;101-200;201-300;301-400;>400;201-300;101-200;0-100;>400;301-400;101-200;301-400;101-200;301-400;301-400;101-200;201-300;>400;>400;0-100;101-200;>400;>400;301-400;201-300;>400;201-300;>400;>400;>400;>400;>400;301-400;301-400;301-400;201-300;>400;>400;>400;101-200;>400;>400;>400;301-400;>400;>400;201-300;>400;>400;>400;>400;201-300;>400;
25;1550;0-100;0-100;101-200;101-200;101-200;201-300;0-100;101-200;0-100;>400;101-200;101-200;101-200;101-200;201-300;301-400;>400;201-300;101-200;0-100;>400;301-400;101-200;301-400;101-200;301-400;301-400;101-200;201-300;>400;>400;0-100;101-200;>400;>400;301-400;201-300;>400;201-300;>400;>400;>400;>400;>400;301-400;301-400;301-400;201-300;>400;>400;>400;101-200;>400;>400;>400;301-400;>400;>400;201-300;>400;>400;>400;>400;201-300;>400;
26;1550;0-100;0-100;101-200;101-200;101-200;101-200;0-100;0-100;0-100;>400;101-200;0-100;101-200;101-200;201-300;301-400;>400;201-300;101-200;0-100;>400;301-400;101-200;301-400;0-100;301-400;201-300;0-100;101-200;>400;>400;0-100;0-100;>400;>400;301-400;201-300;>400;201-300;>400;>400;>400;>400;>400;301-400;301-400;301-400;201-300;>400;>400;>400;201-300;>400;>400;>400;301-400;>400;>400;201-300;>400;>400;>400;>400;201-300;>400;
27;1550;0-100;0-100;101-200;101-200;101-200;201-300;0-100;101-200;0-100;>400;101-200;101-200;101-200;101-200;201-300;301-400;>400;201-300;101-200;0-100;>400;301-400;101-200;301-400;101-200;301-400;301-400;101-200;201-300;>400;>400;0-100;101-200;>400;>400;301-400;201-300;>400;201-300;>400;>400;>400;>400;>400;301-400;301-400;301-400;201-300;>400;>400;>400;101-200;>400;>400;>400;301-400;>400;>400;201-300;>400;>400;>400;>400;201-300;>400;
28;1550;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
29;1610;0-100;201-300;0-100;101-200;301-400;201-300;101-200;101-200;101-200;>400;101-200;101-200;201-300;0-100;301-400;101-200;>400;101-200;301-400;101-200;201-300;>400;>400;>400;301-400;301-400;101-200;101-200;>400;101-200;>400;>400;>400;>400;>400;101-200;201-300;201-300;>400;101-200;>400;101-200;101-200;101-200;101-200;>400;>400;201-300;>400;>400;>400;>400;201-300;>400;>400;101-200;>400;>400;201-300;301-400;201-300;>400;>400;>400;>400;
30;1620;101-200;201-300;101-200;201-300;301-400;>400;101-200;201-300;101-200;>400;>400;201-300;201-300;101-200;101-200;201-300;201-300;201-300;201-300;201-300;101-200;201-300;101-200;201-300;>400;>400;301-400;101-200;201-300;101-200;>400;>400;201-300;201-300;201-300;101-200;201-300;201-300;101-200;101-200;>400;301-400;101-200;>400;301-400;>400;>400;>400;>400;>400;301-400;>400;101-200;>400;>400;101-200;>400;>400;101-200;>400;>400;>400;101-200;>400;>400;
31;1660;101-200;201-300;101-200;201-300;301-400;>400;101-200;201-300;101-200;>400;>400;201-300;201-300;101-200;101-200;201-300;201-300;201-300;201-300;201-300;101-200;201-300;101-200;201-300;>400;>400;301-400;101-200;201-300;101-200;301-400;>400;201-300;201-300;201-300;101-200;201-300;201-300;101-200;101-200;>400;301-400;201-300;>400;301-400;>400;>400;>400;>400;>400;301-400;>400;201-300;>400;>400;101-200;>400;>400;101-200;>400;>400;>400;101-200;>400;>400;
32;1660;0-100;101-200;101-200;101-200;0-100;201-300;101-200;101-200;201-300;>400;101-200;101-200;101-200;101-200;301-400;201-300;101-200;0-100;201-300;301-400;0-100;101-200;101-200;101-200;101-200;101-200;201-300;101-200;>400;>400;>400;101-200;101-200;>400;0-100;>400;301-400;201-300;>400;>400;>400;>400;>400;301-400;301-400;301-400;>400;>400;201-300;101-200;301-400;101-200;>400;201-300;>400;301-400;>400;>400;>400;>400;>400;201-300;201-300;>400;301-400;
33;1690;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
34;1700;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
35;1742;0-100;0-100;301-400;201-300;0-100;0-100;101-200;201-300;101-200;201-300;0-100;301-400;101-200;301-400;101-200;101-200;>400;>400;301-400;0-100;301-400;201-300;201-300;201-300;>400;201-300;201-300;101-200;201-300;301-400;>400;>400;101-200;201-300;>400;>400;>400;>400;>400;0-100;201-300;>400;0-100;201-300;201-300;>400;201-300;>400;>400;201-300;201-300;201-300;301-400;301-400;201-300;>400;201-300;301-400;>400;301-400;>400;201-300;201-300;>400;201-300;
36;1750;0-100;101-200;201-300;0-100;201-300;201-300;101-200;>400;0-100;>400;101-200;0-100;201-300;201-300;301-400;201-300;101-200;101-200;201-300;>400;301-400;>400;201-300;>400;201-300;>400;201-300;301-400;301-400;201-300;201-300;>400;101-200;>400;301-400;201-300;201-300;301-400;101-200;101-200;>400;201-300;0-100;>400;>400;>400;301-400;201-300;>400;>400;301-400;>400;>400;>400;>400;>400;>400;>400;>400;301-400;>400;>400;101-200;>400;>400;
37;1802;101-200;301-400;101-200;101-200;101-200;>400;301-400;>400;301-400;>400;301-400;>400;301-400;301-400;>400;301-400;201-300;>400;201-300;>400;>400;>400;>400;201-300;101-200;301-400;301-400;>400;>400;201-300;301-400;>400;301-400;>400;>400;101-200;>400;101-200;201-300;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
38;1802;0-100;301-400;0-100;201-300;101-200;301-400;201-300;301-400;301-400;>400;301-400;101-200;301-400;301-400;301-400;>400;0-100;101-200;301-400;0-100;301-400;>400;301-400;>400;201-300;301-400;>400;301-400;301-400;301-400;>400;301-400;301-400;201-300;301-400;>400;201-300;301-400;301-400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;301-400;>400;301-400;>400;>400;>400;301-400;>400;>400;>400;>400;>400;
39;1810;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
40;1828;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
41;1831;0-100;0-100;201-300;0-100;0-100;>400;>400;>400;0-100;>400;301-400;201-300;301-400;>400;>400;201-300;301-400;301-400;>400;201-300;>400;>400;>400;>400;>400;201-300;101-200;>400;>400;301-400;>400;>400;>400;>400;>400;>400;>400;>400;>400;201-300;>400;>400;201-300;>400;>400;301-400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;301-400;>400;>400;
42;1850;0-100;101-200;0-100;301-400;201-300;101-200;0-100;0-100;301-400;>400;101-200;>400;201-300;101-200;>400;>400;101-200;201-300;101-200;201-300;>400;>400;301-400;201-300;101-200;101-200;>400;>400;>400;0-100;>400;>400;>400;>400;201-300;301-400;>400;>400;>400;>400;>400;301-400;201-300;>400;>400;>400;201-300;0-100;>400;301-400;>400;101-200;201-300;>400;>400;301-400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
43;1860;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
44;1860;101-200;101-200;201-300;101-200;301-400;>400;101-200;201-300;301-400;>400;301-400;101-200;>400;201-300;>400;201-300;>400;301-400;>400;>400;101-200;101-200;>400;>400;>400;201-300;>400;>400;>400;>400;>400;>400;>400;>400;101-200;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;101-200;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
45;1870;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
46;1875;0-100;0-100;201-300;101-200;>400;101-200;101-200;101-200;301-400;>400;101-200;101-200;101-200;201-300;301-400;101-200;>400;101-200;101-200;201-300;101-200;101-200;101-200;101-200;>400;301-400;301-400;301-400;101-200;201-300;101-200;201-300;>400;>400;301-400;201-300;>400;>400;>400;>400;>400;201-300;>400;101-200;101-200;101-200;>400;201-300;201-300;101-200;301-400;>400;>400;301-400;>400;>400;301-400;>400;>400;101-200;301-400;>400;>400;>400;101-200;
47;1877;0-100;0-100;101-200;101-200;0-100;201-300;101-200;201-300;101-200;>400;101-200;101-200;101-200;0-100;201-300;201-300;201-300;301-400;201-300;301-400;>400;>400;201-300;>400;301-400;>400;101-200;>400;201-300;101-200;301-400;>400;>400;301-400;301-400;0-100;0-100;>400;101-200;>400;>400;301-400;>400;>400;>400;>400;201-300;>400;>400;>400;>400;301-400;>400;201-300;>400;>400;>400;>400;>400;>400;>400;>400;301-400;301-400;>400;
48;1879;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
49;1887;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
50;1890;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
51;1890;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
